Jul '19,2.72,0.17,2.43,0.13
Aug '19,2.43,0.17,2.15,0.12
Sep '19,3.93,0.24,0.73,0.15
Oct '19,1.03,0.18,0.62,0.23
Nov '19,2.25,0.89,0.93,0.40
Dec '19,2.98,0.97,1.14,0.87
Jan '20,0.68,0.13,0.31,0.24
Feb '20,0.76,0.18,0.31,0.27
Mar '20,1.60,0.46,0.74,0.40
Apr '20,1.47,0.42,0.66,0.38
May '20,0.98,0.24,0.44,0.30
Jun '20,1.18,0.19,0.57,0.42
